Algorithm,Training Accuracy,Test Accuracy,Area Under the Curve
Logistic Regression,0.9104395604395605,0.8823529411764706,0.8928571428571429
Support Vector Machine,0.9181318681318682,0.8529411764705882,0.9166666666666666
Decision Tree,0.9401098901098901,0.9117647058823529,0.8660714285714286
K-Nearest Neighbors,0.9181318681318682,0.9117647058823529,0.7916666666666667
